id,code,latitude,longitude
1,CS.1.1,"22,8888248829","58,0613596113"
2,CS.1.2,"22,8829116777","58,0527448739"
3,CS.1.3,"22,8743229619","58,0511970056"
4,CS.1.4,"22,866358546","58,050853049"
5,CS.1.5,0,0
6,CS.1.6,"22,8663873715","58,0614776357"
7,CS.1.7,"22,8820827088","58,0646508294"
8,CS.1.8,"22,8896494643","58,0609663246"
9,CS.1.9,"22,894819928","58,0644382258"
10,CS.3.1,"22,7779602875","58,0125750015"
11,CS.3.2,"22,7563308418","58,0247065754"
12,CS.3.3,"22,7594364064","58,0235609949"
13,CS.3.4,"22,7623650444","58,0161708357"
14,CS.3.5,"22,7682896749","58,0091822355"
15,CS.3.6,"22,7499112455","58,0029408822"
16,CS.3.7,"22,7721089742","58,0151228032"
17,CS.3.8,0,0
18,CS.3.9,"22,769887709","58,0121550508"
19,CS.3.10,"22,7878649255","58,0032376927"
20,CS.4.1,0,0
21,CS.4.2,"22,90000385","57,92299165"
22,CS.4.3,"22,9026719936","57,9161457075"
23,CS.4.4,"22,8850781846","57,9405553692"
24,CS.4.5,"22,8788979902","57,9393332527"
25,CS.4.6,"22,8754902948","57,9412594149"
26,CS.4.7,"22,8714237334","57,9385117743"
27,CS.4.8,"22,8916089339","57,9220379309"
28,CS.4.9,"22,89683688","57,9484750427"
29,CS.4.10,"22,8931194512","57,9568433044"
30,CS.4.11,"22,8894038394","57,9752037856"
31,CS.4.12,"22,8743191792","57,9883921034"
32,CS.4.13,"22,8386590288","57,9617049783"
33,CS.4.14,"22,8421276534","57,9721084082"
34,CS.4.15,"22,8521491794","57,9684468199"
35,CS.4.16,"22,85826845","57,9781101855"
36,CS.4.17,"22,8786493425","57,9993900946"
37,CS.4.18,"22,8315887018","57,9732224006"
38,CS.4.19,0,0
39,CS.5.1,"22,6624490482","58,0407969802"
40,CS.5.2,"22,6622640947","58,0316857956"
41,CS.5.3,"22,6652780141","58,0335575815"
42,CS.5.4,0,0
43,CS.5.5,"22,6535097208","58,0472500454"
44,CS.5.6,"22,6624827472","58,045332664"
45,CS.5.7,0,0
46,CS.5.8,"22,6634097692","58,0582258184"
47,CS.5.9,0,0
48,CS.5.10,"22,637123307","58,0320720957"
49,CS.5.11,"22,6428781825","58,059615724"
50,CS.5.12,"22,6326525842","58,0692191817"
51,CS.5.13,"22,6310913932","58,0635634615"
52,CS.5.14,"22,63105846","58,0603521679"
53,CS.5.15,"22,6252958746","58,0534482923"
54,CS.5.16,0,0
55,CS.5.17,"22,6503364442","58,008240152"
56,CS.5.18,"22,6453167935","58,0078239736"
57,CS.5.19,"22,6596693026","58,0136612221"
58,CS.7.1,0,0
59,CS.7.2,"22,3565460102","58,0606707189"
60,CS.7.3,"22,3484482054","58,0654356295"
61,CS.7.4,"22,3460113645","58,0609891159"
62,CS.7.5,"22,3440811678","58,0591683762"
63,CS.9.1,"22,8808621616","58,2171384179"
64,CS.9.2,"22,8840342353","58,2157239962"
65,CS.9.3,"22,8677611214","58,2200724192"
66,CS.9.4,"22,8874932894","58,2204729587"
67,CS.9.5,0,0
68,CS.9.6,"22,8927070281","58,2225375532"
69,CS.9.7,"22,8824889393","58,2027650065"
70,CS.9.8,"22,8810669153","58,2009003903"
71,CS.9.9,"22,8696212579","58,1987528669"
72,CS.9.10,"22,8667271767","58,1980549407"
73,CS.9.11,"22,8684015603","58,1939954045"
74,CS.9.12,"22,8643166372","58,1906945741"
75,CS.9.13,"22,863423695","58,2226847388"
76,CS.9.14,"22,8805950987","58,2225167949"
77,CS.2.1,"23,0021118805","58,1213109378"
78,CS.2.2,0,0
79,CS.2.3,"23,0314880061","58,1876887997"
80,CS.2.4,0,0
81,CS.2.5,"4,96109266963","58,0956946698"
82,CS.2.6,"23,0412196329","58,1823186231"
